Identification;EshopId;EshopName;ManagerClassName;ProductItemId;Name;Description;SearchCategoryKey;CategoryId;CategoryDesc
25||28660813575;25;Unieuro;AW_MANAGER;28660813575;Lagostina Pentola 2 maniglie cm 18;Lagostina Pentola 2 maniglie cm 18, 3,5 L, Rotondo, Acciaio inossidabile, Acciaio inossidabile, Acciaio inossidabile, Nero..;Pentole e padelle;[111,170];Casa e giardino > Accessori cucina
25||28660813577;25;Unieuro;AW_MANAGER;28660813577;Lagostina Coperchio cm 24;Lagostina Coperchio cm 24, Rotondo, Acciaio inossidabile, Alluminio, Acciaio, Bachelite, 180 C, Gioiosa;Pentole e padelle;[111,170];Casa e giardino > Accessori cucina
25||25359761717;25;Unieuro;AW_MANAGER;25359761717;Kanguru Baboosh Uomo M;Kanguru Baboosh Uomo M, Stivale-pantofola, Femmina, Adulto, Beige, Monocromatico, Inverno;Altri;[113,194];Dispositivi elettronici > accessori telefonia
25||25820784373;25;Unieuro;AW_MANAGER;25820784373;New Majestic WR-162 DAB Digitale Argento, Legno;New Majestic WR-162 DAB, Digitale, DAB, DAB+, FM, PLL, 87,5 - 108 MHz, 174.928 - 239.2 MHz, LCD, Argento, Legno;Radio portatili;[113,196];Dispositivi elettronici > audio
25||25460141201;25;Unieuro;AW_MANAGER;25460141201;Tognana Porcellane Padella 1m cm 28;Tognana Porcellane Padella 1m cm 28, Rotondo, Pentola multiuso, Grigio, Pure roq, Alluminio, 3,5 mm;Pentole e padelle;[111,170];Casa e giardino > Accessori cucina
25||28498874279;25;Unieuro;AW_MANAGER;28498874279;Joia Home Bottiglia Termica Doppia Parete Margherite;Joia Home Bottiglia Termica Doppia Parete Margherite, Blu, Bianco, Giallo, Acciaio inossidabile, Acciaio inossidabile, 12 h, 24 h, 500 ml;Bottiglie e borse termiche;[111,170];Casa e giardino > Accessori cucina
25||28073190075;25;Unieuro;AW_MANAGER;28073190075;WiZ Lampadina Smart Dimmerabile Luce Bianca Calda AttaccoE27 60W Gocci;WiZ Lampadina Smart Dimmerabile Luce Bianca Calda AttaccoE27 60W Goccia 2Pezzi, Lampadina intelligente, Bianco, Wi-Fi, LED, E27..;Illuminazione;[111,177];Casa e giardino > Illuminazione
25||25460141199;25;Unieuro;AW_MANAGER;25460141199;Lagostina Padella cm 20;Lagostina Padella cm 20, Rotondo, Pentola multiuso, Rosso, Titanium Easy, Cucina Mediterranea, Ceramica, Gas, Alogena, Induzione..;Pentole e padelle;[111,170];Casa e giardino > Accessori cucina
25||25445861519;25;Unieuro;AW_MANAGER;25445861519;Lagostina Padella cm 28;Lagostina Padella cm 28, Rotondo, Pentola multiuso, Rosso, Titanium Easy, Cucina Mediterranea, Ceramica, Gas, Alogena, Induzione..;Pentole e padelle;[111,170];Casa e giardino > Accessori cucina
25||24749447349;25;Unieuro;AW_MANAGER;24749447349;New Majestic TS-80R BT altoparlante PA;New Majestic TS-80R BT, Nero, Pulsanti, 120 W, AC, Batteria, DC, 100 - 240 V, 50/60 Hz;Diffusori Bluetooth;[113,196];Dispositivi elettronici > audio
