Identification;EshopId;EshopName;ManagerClassName;ProductItemId;Name;Description;SearchCategoryKey;CategoryId;CategoryDesc
153||5308703;153;Monclick;TD_MANAGER;5308703;Pouches Fellowes - Protect175;"Tipologia: Rivestimento di plastificazione;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||5308803;153;Monclick;TD_MANAGER;5308803;Pouches Fellowes - Protect175;"Tipologia: Rivestimento di plastificazione;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||5308B001AA;153;Monclick;TD_MANAGER;5308B001AA;Serbatoio Pfi-206 pm - magenta per foto - originale - serbatoio inchiostro 5308b001aa;"Tipologia: Serbatoio inchiostro; Colore: Magenta; Quantità per confezione: Confezione da 1;";Consumabili > Cartucce e toner;[113,192];Dispositivi elettronici > accessori stampanti
153||535A;153;Monclick;TD_MANAGER;535A;Busta Mailpack 535a;"Formato: n.d.; Quantità per confezione: 25;";Prodotti per scuola e ufficio > Buste;[111,188];Casa e giardino > sicurezza
153||53600;153;Monclick;TD_MANAGER;53600;Timbro Printy 6/4914 53600;"Tipologia: n.d.; Quantità per confezione: 2;";Prodotti per scuola e ufficio > Timbri;[111,188];Casa e giardino > sicurezza
153||53100;153;Monclick;TD_MANAGER;53100;Box hard disk esterno Store 'n' go enclosure kit - box esterno - sata 3gb/s - usb 3.0 53100;"Formato HDD: 2.5''; Interfaccia HDD supportata: SATA 3Gb/s; Interfaccia esterna: USB 3.0;";HDD e Componenti PC > Box hard disk esterno;[113,191];Dispositivi elettronici > accessori computer e tablet
153||53602;153;Monclick;TD_MANAGER;53602;Timbro Printy 6/4914 53602;"Tipologia: n.d.; Quantità per confezione: 2;";Prodotti per scuola e ufficio > Timbri;[111,188];Casa e giardino > sicurezza
153||53104;153;Monclick;TD_MANAGER;53104;Box hard disk esterno Store 'n' go enclosure kit - box esterno - sata - usb 3.1 (gen 2), usb-c 53104;"Formato HDD: 2.5''; Interfaccia HDD supportata: SATA; Interfaccia esterna: USB 3.1 (Gen 2), USB-C;";HDD e Componenti PC > Box hard disk esterno;[113,191];Dispositivi elettronici > accessori computer e tablet
153||53610095;153;Monclick;TD_MANAGER;53610095;Duo colour - vassoio per lettere - per a4 - nero 53610095;"Tipologia: n.d.;";Prodotti per scuola e ufficio > Arredo ufficio e accessori;[125,234];Ufficio > Forniture per ufficio
153||5311B001AA;153;Monclick;TD_MANAGER;5311B001AA;Serbatoio Pfi-206 b - blu - originale - serbatoio inchiostro 5311b001aa;"Tipologia: Serbatoio inchiostro; Colore: Blu; Quantità per confezione: Confezione da 1;";Consumabili > Cartucce e toner;[113,192];Dispositivi elettronici > accessori stampanti
153||53611036;153;Monclick;TD_MANAGER;53611036;Dual colour - vassoio per lettere - per letter, a4, c4, folio 53611036;"Tipologia: n.d.;";Prodotti per scuola e ufficio > Arredo ufficio e accessori;[125,234];Ufficio > Forniture per ufficio
153||531202;153;Monclick;TD_MANAGER;531202;Tempera Extra quality - pittura - gel a base di acqua - argento glitter - 250 ml 531202;"Colore: Argento; Q.tà per confezione: 1;";Prodotti per scuola e ufficio > Tempere;[111,188];Casa e giardino > sicurezza
153||53629742;153;Monclick;TD_MANAGER;53629742;Multiuso Multipaper A3 200 gr Bianco;"Tipologia: Ink-jet, Laser; Grammatura: 200 g/m; Fogli per risma: 4 fogli; Colore: Bianco; Formato: A3 (297 x 420 mm);";Prodotti per scuola e ufficio > Carta;[111,188];Casa e giardino > sicurezza
153||531208;153;Monclick;TD_MANAGER;531208;Tempera Extra quality - pittura - blu scuro luccicante - 250 ml 531208;"Colore: Blu; Q.tà per confezione: 1;";Prodotti per scuola e ufficio > Tempere;[111,188];Casa e giardino > sicurezza
153||53631023;153;Monclick;TD_MANAGER;53631023;Porta penne - polistirene - rosa metallizzato 53631023;"Tipologia: Portapenne;";Prodotti per scuola e ufficio > Arredo ufficio e accessori;[125,234];Ufficio > Forniture per ufficio
153||5312903;153;Monclick;TD_MANAGER;5312903;Pouches Fellowes - Capture 80;"Tipologia: Rivestimento di plastificazione;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||53651023;153;Monclick;TD_MANAGER;53651023;Desk organizer tappetino di ricarica wireless 53651023;"Tipologia: Tappetino di ricarica wireless;";Prodotti per scuola e ufficio > Arredo ufficio e accessori;[125,234];Ufficio > Forniture per ufficio
153||531301;153;Monclick;TD_MANAGER;531301;Tempera Pittura - tempera - pearl white - 250 ml 531301;"Colore: Bianco; Q.tà per confezione: 1;";Prodotti per scuola e ufficio > Tempere;[111,188];Casa e giardino > sicurezza
153||536818;153;Monclick;TD_MANAGER;536818;Custodia Ss 800 - custodia per flash fotocamera 536818;"Tipologia: Custodia; Adatta per: Fotocamera; Dimensione monitor: Non applicabile; Colore: Nero;";Accessori > Borse e custodie;[113,190];Dispositivi elettronici > accessori
153||531303;153;Monclick;TD_MANAGER;531303;Tempera Extra quality - pittura - tempera - verde - 250 ml 531303;"Colore: Verde; Q.tà per confezione: 1;";Prodotti per scuola e ufficio > Tempere;[111,188];Casa e giardino > sicurezza
153||536820;153;Monclick;TD_MANAGER;536820;Custodia Ss r200 - custodia per flash fotocamera 536820;"Tipologia: Custodia; Adatta per: Fotocamera; Dimensione monitor: Non applicabile; Colore: Nero;";Accessori > Borse e custodie;[113,190];Dispositivi elettronici > accessori
153||5313B001AA;153;Monclick;TD_MANAGER;5313B001AA;Serbatoio Pfi-206 pgy - grigio fotografico - originale - serbatoio inchiostro 5313b001aa;"Tipologia: Serbatoio inchiostro; Colore: Grigio fotografico; Quantità per confezione: Confezione da 1;";Consumabili > Cartucce e toner;[113,192];Dispositivi elettronici > accessori stampanti
153||5370004;153;Monclick;TD_MANAGER;5370004;Copertina Copertine Fellowes - Delta;"Tipologia: Copertina per rilegatura;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||531402;153;Monclick;TD_MANAGER;531402;Tempera Extra quality - pittura - argento metallizzato - 250 ml 531402;"Colore: Argento; Q.tà per confezione: 1;";Prodotti per scuola e ufficio > Tempere;[111,188];Casa e giardino > sicurezza
153||5370305;153;Monclick;TD_MANAGER;5370305;Copertina Delta - 100 pezzi - 250 g/m - copertina per rilegatura 5370305;"Tipologia: Copertina per rilegatura;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||53151;153;Monclick;TD_MANAGER;53151;Copertina 100 pezzi - 220 g/m - copertina per rilegatura termica 53151;"Tipologia: Copertina per rilegatura termica;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||5371305;153;Monclick;TD_MANAGER;5371305;Copertina Copertine Fellowes - Delta;"Tipologia: Copertina per rilegatura;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||53153;153;Monclick;TD_MANAGER;53153;Copertina Standing - 100 pezzi - 200 g/m - copertina per rilegatura termica 53153;"Tipologia: Copertina per rilegatura termica;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||5374401;153;Monclick;TD_MANAGER;5374401;Copertina Copertine Fellowes - Delta;"Tipologia: Copertina per rilegatura;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||53154;153;Monclick;TD_MANAGER;53154;Copertina Standing - 100 pezzi - 200 g/m - copertina per rilegatura termica 53154;"Tipologia: Copertina per rilegatura termica;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||5376001;153;Monclick;TD_MANAGER;5376001;Copertina Superclear pvc - 100 pezzi - copertina in pvc per rilegatura 5376001;"Tipologia: Copertina in PVC per rilegatura;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||53177;153;Monclick;TD_MANAGER;53177;Hard disk esterno Store 'n' go portable - hdd - 2 tb - usb 3.0 53177;"Capacità: 2 TB; Tipo unità: Portatile; Interfaccia: USB 3.0; Peso: 150 g; Colore: Nero;";HDD e Componenti PC > Hard disk esterni;[113,191];Dispositivi elettronici > accessori computer e tablet
153||53762;153;Monclick;TD_MANAGER;53762;Copertina Copertine Fellowes - Clear;"Tipologia: Copertina in PVC per rilegatura;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||53189;153;Monclick;TD_MANAGER;53189;Hard disk esterno Store 'n' go portable - hdd - 2 tb - usb 3.0 53189;"Capacità: 2 TB; Tipo unità: Portatile; Interfaccia: USB 3.0; Peso: 184 g; Colore: Bianco;";HDD e Componenti PC > Hard disk esterni;[113,191];Dispositivi elettronici > accessori computer e tablet
153||53764;153;Monclick;TD_MANAGER;53764;Copertina Superclear pvc - 100 pezzi - copertina in pvc per rilegatura 53764;"Tipologia: Copertina in PVC per rilegatura;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||53197;153;Monclick;TD_MANAGER;53197;Hard disk esterno Store 'n' go portable - hdd - 1 tb - usb 3.0 53197;"Capacità: 1 TB; Tipo unità: Portatile; Interfaccia: USB 3.0; Peso: 184 g; Colore: Argento;";HDD e Componenti PC > Hard disk esterni;[113,191];Dispositivi elettronici > accessori computer e tablet
153||537910;153;Monclick;TD_MANAGER;537910;Anello adattatore Ur 3 - anello adattatore macro flash 537910;"Tipologia: Anello adattatore macro flash;";Accessori > Accessori fotografia vari;[116];Fotocamere e videocamere
153||5320604;153;Monclick;TD_MANAGER;5320604;Fogli di pulizia 10 pezzi - a4 - salviettine detergenti 5320604;"Tipologia: Salviettine detergenti;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||537A;153;Monclick;TD_MANAGER;537A;Busta Mailpack 537a;"Formato: n.d.; Quantità per confezione: n.d.;";Prodotti per scuola e ufficio > Buste;[111,188];Casa e giardino > sicurezza
153||532171;153;Monclick;TD_MANAGER;532171;Custodia Ss 700 - custodia per flash fotocamera 532171;"Tipologia: Custodia; Adatta per: Fotocamera; Dimensione monitor: Non applicabile; Colore: Nero;";Accessori > Borse e custodie;[113,190];Dispositivi elettronici > accessori
153||538102;153;Monclick;TD_MANAGER;538102;Tempera Decor - pittura - acrilico - giallo primario - 25 ml 538102;"Colore: n.d.; Q.tà per confezione: n.d.;";Prodotti per scuola e ufficio > Tempere;[111,188];Casa e giardino > sicurezza
153||53218;153;Monclick;TD_MANAGER;53218;Dorsi per rilegatura Dorsi metallici Fellowes - 53218;"Tipologia: Dorsi;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||53821297;153;Monclick;TD_MANAGER;53821297;Multiuso Multipaper - carta - lucida liscia - 125 fogli - a4 - 300 g/m 53821297;"Tipologia: Ink-jet, Laser; Grammatura: 300 g/m; Fogli per risma: 5 fogli; Colore: Bianco; Formato: A4 (210 x 297 mm);";Prodotti per scuola e ufficio > Carta;[111,188];Casa e giardino > sicurezza
153||53221297;153;Monclick;TD_MANAGER;53221297;Multiuso Multipaper A4 100 gr Bianco;"Tipologia: Ink-jet, Laser; Grammatura: 100 g/m; Fogli per risma: 4 fogli; Colore: Bianco; Formato: A4 (210 x 297 mm);";Prodotti per scuola e ufficio > Carta;[111,188];Casa e giardino > sicurezza
153||538700B;153;Monclick;TD_MANAGER;538700B;Gessetti Robercolor 538700b;"Tipologia: Gessetti; Colore: Bianco; Quantità per confezione: 10;";Prodotti per scuola e ufficio > Pastelli e pennarelli;[111,188];Casa e giardino > sicurezza
153||53229742;153;Monclick;TD_MANAGER;53229742;Multiuso Multipaper A3 100 gr Bianco;"Tipologia: Ink-jet, Laser; Grammatura: 100 g/m; Fogli per risma: 4 fogli; Colore: Bianco; Formato: A3 (297 x 420 mm);";Prodotti per scuola e ufficio > Carta;[111,188];Casa e giardino > sicurezza
153||538900;153;Monclick;TD_MANAGER;538900;Gessetti Robercolor - gesso - colori assortiti (pacchetto di 10) 538900;"Tipologia: Gessetti; Colore: Assortiti; Quantità per confezione: 10;";Prodotti per scuola e ufficio > Pastelli e pennarelli;[111,188];Casa e giardino > sicurezza
153||53257;153;Monclick;TD_MANAGER;53257;810 - dispenser 28630;"Tipologia: Nastro adesivo; Quantità per confezione: 2;";Prodotti per scuola e ufficio > Colle e nastri adesivi;[111,188];Casa e giardino > sicurezza
153||539;153;Monclick;TD_MANAGER;539;Busta Mailpack 539;"Formato: n.d.; Quantità per confezione: 25;";Prodotti per scuola e ufficio > Buste;[111,188];Casa e giardino > sicurezza
153||539000;153;Monclick;TD_MANAGER;539000;Robercolor - gesso - colori assortiti (pacchetto di 100) 539000;"Tipologia: Gessetti; Colore: Assortiti; Quantità per confezione: 100;";Prodotti per scuola e ufficio > Pastelli e pennarelli;[111,188];Casa e giardino > sicurezza
153||53262;153;Monclick;TD_MANAGER;53262;Dorsi metallici Fellowes - 53262;"Tipologia: Dorsi;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||5390601;153;Monclick;TD_MANAGER;5390601;Copertine Fellowes - Standing;"Tipologia: Copertina per rilegatura termica;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||53270;153;Monclick;TD_MANAGER;53270;Dorsi metallici Fellowes - 53270;"Tipologia: Dorsi;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||5391201;153;Monclick;TD_MANAGER;5391201;Copertina 100 pezzi - 200 g/m - copertina per rilegatura termica 5391202;"Tipologia: Copertina per rilegatura termica;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||53274;153;Monclick;TD_MANAGER;53274;Dorsi per rilegatura 100 pezzi - filo per rilegatura 53274;"Tipologia: Dorsi;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||5393_823_309;153;Monclick;TD_MANAGER;5393_823_309;Cuffia con microfono Evolve 30 II MS Mono;"Tipologia: Cuffie con microfono; Connettività: Cablato; Tecnologia wireless: Non presente; Colore: Nero; Serie: Evolve; Modello: 30 II MS Mono;";Home Cinema e Audio > Cuffie e auricolari;[113,196];Dispositivi elettronici > audio
153||532A;153;Monclick;TD_MANAGER;532A;Maxi - gesso - colori assortiti (pacchetto di 6) 532a;"Tipologia: Gessetti; Colore: Assortiti; Quantità per confezione: 6;";Prodotti per scuola e ufficio > Pastelli e pennarelli;[111,188];Casa e giardino > sicurezza
153||539602;153;Monclick;TD_MANAGER;539602;Robercolor - gesso - arancione (pacchetto di 100) 539602;"Tipologia: Gessetti; Colore: Arancione; Quantità per confezione: 100;";Prodotti per scuola e ufficio > Pastelli e pennarelli;[111,188];Casa e giardino > sicurezza
153||5330403;153;Monclick;TD_MANAGER;5330403;Dorso Dorsi plastici ad anello rotondo;"Tipologia: Dorso;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||539604;153;Monclick;TD_MANAGER;539604;Gesso (pacchetto di 100) 539604;"Tipologia: Gessetti; Colore: Verde; Quantità per confezione: 100;";Prodotti per scuola e ufficio > Pastelli e pennarelli;[111,188];Casa e giardino > sicurezza
153||5331203;153;Monclick;TD_MANAGER;5331203;Dorso Dorsi plastici ad anello rotondo;"Tipologia: Dorso;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||5396205;153;Monclick;TD_MANAGER;5396205;Pouches Fellowes - Enhance80;"Tipologia: Rivestimento di plastificazione;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||5396301;153;Monclick;TD_MANAGER;5396301;Pouches a caldo Imagelast - confezione da 25 - brillante - a4 5396301;"Tipologia: Rivestimento di plastificazione;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||533200;153;Monclick;TD_MANAGER;533200;Tempera SCHOOLPACK TEMPERA 500ml x 6;"Colore: Assortiti; Q.tà per confezione: 6;";Prodotti per scuola e ufficio > Tempere;[111,188];Casa e giardino > sicurezza
153||5332102;153;Monclick;TD_MANAGER;5332102;Dorso Dorsi plastici ad anello rotondo;"Tipologia: Dorso;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||5397402;153;Monclick;TD_MANAGER;5397402;Pouches Fellowes - Capture125;"Tipologia: Rivestimento di plastificazione;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||5332302;153;Monclick;TD_MANAGER;5332302;Dorso Dorsi plastici ad anello rotondo;"Tipologia: Dorso;";Accessori > Accessori ufficio vari;[125,234];Ufficio > Forniture per ufficio
153||53B2000;153;Monclick;TD_MANAGER;53B2000;Toner Nero - originale - cartuccia toner 53b2000;"Tipologia: Toner; Colore: Nero; Quantità per confezione: Confezione da 1;";Consumabili > Cartucce e toner;[113,192];Dispositivi elettronici > accessori stampanti
153||533401;153;Monclick;TD_MANAGER;533401;Tempera Pittura - tempera - bianco - 1000 ml 533401;"Colore: Bianco; Q.tà per confezione: 1;";Prodotti per scuola e ufficio > Tempere;[111,188];Casa e giardino > sicurezza
153||53B2X00;153;Monclick;TD_MANAGER;53B2X00;Toner Extra high yield - nero - originale - cartuccia toner 53b2x00;"Tipologia: Toner; Colore: Nero; Quantità per confezione: Confezione da 1;";Consumabili > Cartucce e toner;[113,192];Dispositivi elettronici > accessori stampanti
153||533405;153;Monclick;TD_MANAGER;533405;Tempera Pittura - tempera - arancione - 1000 ml 533405;"Colore: Arancione; Q.tà per confezione: 1;";Prodotti per scuola e ufficio > Tempere;[111,188];Casa e giardino > sicurezza
153||5401;153;Monclick;TD_MANAGER;5401;Schermo per videoproiettore Pearl;"Tipologia: Schermo a parete; Rapporto aspetto: 4:3; Lunghezza diagonale: 197 pollici; Motorizzato: Sì; Modello: n.d.;";TV LED e Video > Schermi per videoproiettori;[113,205];Dispositivi elettronici > video
153||533408;153;Monclick;TD_MANAGER;533408;Tempera Extra quality - pittura - tempera - rosso scarlatto - 1000 ml 533408;"Colore: Rosso; Q.tà per confezione: 1;";Prodotti per scuola e ufficio > Tempere;[111,188];Casa e giardino > sicurezza
153||540_11141;153;Monclick;TD_MANAGER;540_11141;Adattatore di rete X520 dp - adattatore di rete - pcie - 2 porte 540-11141;"Tipologia: Scheda plug-in; Tipologia interfaccia PC: PCI Express; Velocità di trasferimento dati: 10 Gbps; Tipologia cablaggio: Ethernet 1000Base-T;";Networking e Wireless > Adattatori di rete ethernet;[111,189];Casa e giardino > Sistemi di allarme
153||533411;153;Monclick;TD_MANAGER;533411;Tempera Extra quality - pittura - tempera - vermiglione - 1000 ml 533411;"Colore: Verde; Q.tà per confezione: 1;";Prodotti per scuola e ufficio > Tempere;[111,188];Casa e giardino > sicurezza
153||540_11210;153;Monclick;TD_MANAGER;540_11210;Adattatore di rete Qlogic 5719 quad port 1gbe mezz card - adattatore di rete 540-11210;"Tipologia: Scheda plug-in; Tipologia interfaccia PC: PCI Express 2.0 x4; Velocità di trasferimento dati: 1 Gbps; Tipologia cablaggio: Ethernet 1000Base-T;";Networking e Wireless > Adattatori di rete ethernet;[111,189];Casa e giardino > Sistemi di allarme
153||533415;153;Monclick;TD_MANAGER;533415;Tempera Pittura - tempera - ciano - 1000 ml 533415;"Colore: Azzurro; Q.tà per confezione: 1;";Prodotti per scuola e ufficio > Tempere;[111,188];Casa e giardino > sicurezza
153||533417;153;Monclick;TD_MANAGER;533417;Tempera Extra quality - pittura - blu ultramarino - 1000 ml 533417;"Colore: Blu; Q.tà per confezione: 1;";Prodotti per scuola e ufficio > Tempere;[111,188];Casa e giardino > sicurezza
