Identification;EshopId;EshopName;ManagerClassName;ProductItemId;Name;Description;SearchCategoryKey;CategoryId;CategoryDesc
231||216228;231;My Trendy Phone;TT_MANAGER;216228;Custodia in pelle a portafoglio staccabile DG.Ming Huawei Mate 30 - marrone;Custodia in pelle a portafoglio staccabile DG.Ming per Huawei Mate 30 Dai al tuo Huawei Mate 30 uno stile di fascia alta con questa custodia in pelle di DG.Ming.;Custodia Huawei Mate 30;[113,190];Dispositivi elettronici > accessori
231||216229;231;My Trendy Phone;TT_MANAGER;216229;Cavo Momax Zero DC16 USB-C / USB-C - 1 m - Nero;Cavo Momax Zero DC16 USB-C / USB-C - 3A, 480Mbps Usa il cavo Momax Zero per caricare e collegare i tuoi dispositivi USB-C.;USB C;[113,190];Dispositivi elettronici > accessori
231||216230;231;My Trendy Phone;TT_MANAGER;216230;Cavo Momax Zero DC16 USB-C / USB-C - 1 m - Bianco;Cavo Momax Zero DC16 USB-C / USB-C - 3A, 480Mbps Usa il cavo Momax Zero per caricare e collegare i tuoi dispositivi USB-C.;USB C;[113,190];Dispositivi elettronici > accessori
231||216237;231;My Trendy Phone;TT_MANAGER;216237;Custodia in TPU per iPhone 11 Pro con cornice placcata Sulada - Oro / Trasparente;Custodia in TPU con cornice placcata Sulada per iPhone 11 Pro Il Sulada Plating Frame completa il tuo iPhone 11 Pro e gli conferisce una protezione essenziale.;Custodia iPhone 11 Pro;[113,190];Dispositivi elettronici > accessori
231||216241;231;My Trendy Phone;TT_MANAGER;216241;Cappello Prince Samsung Galaxy Watch Active2 Vetro Temperato - 44mm - Nero;Pellicola salvaschermo in vetro temperato Hat Prince per Samsung Galaxy Watch Active2 - 9H Proteggi il tuo Samsung Galaxy Watch Active2 con il proteggi schermo Hat Prince e indossalo ovunque senza preoccupazioni.;Smartwatch e accessori;[113,200];Dispositivi elettronici > smartwatch
231||216242;231;My Trendy Phone;TT_MANAGER;216242;Cappello Prince Samsung Galaxy Watch Active2 Vetro Temperato - 40mm - Nero;Pellicola salvaschermo in vetro temperato Hat Prince per Samsung Galaxy Watch Active2 - 9H Proteggi il tuo Samsung Galaxy Watch Active2 con il proteggi schermo Hat Prince e indossalo ovunque senza preoccupazioni.;Smartwatch e accessori;[113,200];Dispositivi elettronici > smartwatch
231||216245;231;My Trendy Phone;TT_MANAGER;216245;Custodia Smart Folio Nillkin Bumper per iPad 10.2 2019/2020/2021 - Nera / Trasparente;Custodia Nillkin Bumper Smart Folio per iPad 10.2 (2019), iPad 10.2 (2020), iPad 10.2 (2021) Il Nillkin Bumper una custodia a libro resistente e pratica per il tuo iPad 10.2.;Custodia iPad 10.2;[113,190];Dispositivi elettronici > accessori
231||216247OB;231;My Trendy Phone;TT_MANAGER;216247OB;Supcase Unicorn Beetle Pro iPhone 11 Pro Max Hybrid Case - (Confezione aperta - Condizone ottimo) - Black;Supcase Unicorn Beetle Pro Hybrid Case with Belt Clip for iPhone 11 Pro Max Confezione aperta - Condizone ottimo: Il sigillo di garanzia rotto ma il prodotto ancora nella sua confezione originale, sembra completamente nuovo e include tutte le parti e gli accessori originali. The three-part Unicorn Beetle Pro gives your iPhone 11 Pro Max ultimate defense. This accessory boasts a rugged construction that ensures 360-degree, military-grade drop protection for your iPhone 11 Pro Max. Meanwhile, the included holster with a belt clip keeps the device within hand's reach at all times. Features: - Heavy-duty hybrid case for iPhone 11 Pro Max by Supcase - Gives your phone exceptional defense against drops and impacts - Integrated screen protector with a 5H hardness rating - Keeps all ports and buttons protected yet easily accessible - Comes with a snap-on holster with a belt clip - Pop-up stand with portrait and landscape mode - Fits your iPhone 11 Pro Max like a glove - Straightforward snap-on installation - This case supports wireless charging - Material: TPU, polycarbonate Please note: Fingerprint ID on your device may not work while using this case. Compatibilit: iPhone 11 Pro Max 6.5;Custodia iPhone 11 Pro Max;[113,190];Dispositivi elettronici > accessori
231||216248;231;My Trendy Phone;TT_MANAGER;216248;Cover Dux Ducis Skin Lite Xiaomi Redmi Note 8 - Nera;Cover Dux Ducis Skin Lite per Xiaomi Redmi Note 8 Mantieni il tuo Xiaomi Redmi Note 8 al sicuro con questa custodia liscia di Dux Ducis.;Altri accessori Cellulari;[113,193];Dispositivi elettronici > accessori telefoni cellulari
231||216250;231;My Trendy Phone;TT_MANAGER;216250;Custodia a portafoglio DG.Ming retr per Huawei Mate 30 Pro - nera;Custodia a portafoglio retr DG.Ming per Huawei Mate 30 Pro Proteggi il tuo Huawei Mate 30 Pro all'interno della comoda custodia a portafoglio Retro di DG.Ming.;Custodia Huawei Mate 30 Pro;[113,190];Dispositivi elettronici > accessori
